页码,识别文字,置信度,左上角坐标,右下角坐标
45,歹,0.8553,[1024 2047],[1138 2166]
45,歹歹,0.8332,[1175 2041],[1469 2172]
45,斜字有力,0.9905,[ 179 2066],[ 226 2219]
45,聚重有力,0.803,[ 308 2066],[ 450 2113]
45,不可一掠而过,0.9235,[ 309 2102],[ 516 2152]
45,身斜之字，应着重,0.9852,[ 667 2103],[ 963 2152]
45,笔画的力度，增强坚挺,0.9946,[ 590 2154],[ 962 2206]
45,丝,0.4334,[ 344 2164],[ 456 2280]
45,之意。,0.9966,[ 586 2204],[ 689 2258]
45,,0.0,[1047 2232],[1115 2276]
45,人,0.6334,[1391 2234],[1453 2276]
46,[行楷]教学版,0.9362,[1711   15],[1978   86]
46,嫱嫖嫦嫚嫘嫡鼐翟瞀鹜骠,0.7973,[202 106],[1964  243]
46,耦耧瑾,0.9106,[1496  262],[1968  420]
46,缥缦缧缨骢缪缫,0.7053,[202 282],[1316  411]
46,15画,0.9985,[1334  305],[1477  372]
46,璜璀璎璁璋璇爽髯髻撷撅,0.7264,[188 428],[1978  593]
46,赭撸鉴撙撺墀聩觐鞑蕙骄,0.6494,[186 600],[1982  764]
46,磙霈辘龉龊觑瞌瞋瞑嘭噎,0.6703,[ 174 1086],[1992 1271]
46,噶颙暹啾踔踝踟踒踬踮踯,0.6725,[ 176 1265],[1990 1433]
46,踺踞蝽蝾蝓蝰蝮螋蝓蝣蝼,0.7474,[ 155 1414],[2002 1623]
46,噗嘬颚噍噢噙噜噌噔颛幞,0.7725,[ 137 1588],[2004 1809]
46,微磐虢鹞膘滕鲠鲡鲢鲣鲋,0.6991,[  86 2141],[1986 2310]
47,通用,0.8826,[168   0],[302  82]
47,规范汉字7000字,0.9895,[286   3],[685  72]
47,[行楷]教学版,0.9523,[1732   34],[1999  104]
47,鲧鲩獗獠解馓馔麾尘瘛瘼,0.6402,[193 109],[1975  271]
47,瘢瘠齑羯羰楂遴糟糍糅熜,0.7059,[182 280],[1989  458]
47,熵熠澍澌潜潦潲釜潟潼潺,0.6432,[180 457],[1978  629]
47,憬憧寮窳猷槛褟褫谵熨屦,0.6115,[178 623],[1989  809]
47,耩,0.738,[1833  792],[1970  969]
47,嬉勰戮蝥缮繒驿畿,0.525,[180 805],[1664  988]
47,16画,0.9987,[1664  845],[1811  916]
47,耨耪璞璟靛璠璘聲螯髻髭,0.7232,[180 981],[1986 1141]
47,髹擀熹甏擞縠磬颞蕻鞘颟,0.4834,[ 164 1131],[2001 1349]
47,檎橹樽樨橼墼橐翮醛醐醍,0.7523,[ 162 1474],[2013 1682]
47,遽氅膘瞠瞰嚄嚆噤暾蹀踹,0.7163,[ 169 1823],[1997 2009]
47,昌昌,0.9947,[1170 2001],[1489 2174]
47,上下结构的字，上、,0.9857,[ 679 2016],[ 980 2061]
47,昌,0.9963,[1023 2015],[1176 2159]
47,同形相叠,0.9864,[ 180 2071],[ 244 2230]
47,下两个部件为同一部,0.9981,[ 608 2071],[ 980 2109]
47,昌,0.9972,[ 348 2115],[ 474 2253]
47,件，那么一般上面的部,0.9882,[ 606 2123],[ 979 2160]
47,件小于下面的部件，显,0.9838,[ 606 2176],[ 978 2212]
47,炎炎,0.9989,[1022 2177],[1332 2328]
47,炎,0.9981,[1306 2180],[1486 2328]
47,得上紧而下松，上小而,0.9788,[ 606 2226],[ 978 2266]
47,下大。,0.9834,[ 608 2281],[ 709 2328]
48,通用,0.9868,[166   0],[307  94]
48,规范汉字7000字,0.9982,[296  14],[684  93]
48,[行楷]教学版,0.965,[1733   37],[1999  114]
48,踵踽蹉蹁螨蟒螈螅螭螠螟,0.6869,[182 113],[1988  297]
48,濂褰寰窸褶禧嬖隰嬗,0.6536,[ 156 1472],[1995 1692]
48,璨璩璐璪螫擤壕,0.6297,[ 815 1658],[1988 1860]
48,17画,0.9979,[ 667 1719],[ 813 1793]
48,觳罄擢薹鞡鞬薷薰藓藁檄,0.556,[ 156 1834],[1983 2031]
48,檩懋醯翳礅磴鹩龋龌幽壑,0.6119,[ 163 2015],[1965 2199]
49,通用,0.9492,[175   0],[308  77]
49,规范汉字7000字,0.9922,[301   8],[673  67]
49,[行楷]数学版,0.8766,[1724    1],[2000   75]
49,蟑嚓羁罽罾嶷黜黝髁牌镡,0.691,[192 102],[1973  247]
49,锹镣镦镧镩镪镫罅黏簌篾,0.7324,[186 271],[1982  429]
49,篼簋黛儡鹪鼾皤魍龠,0.5743,[183 446],[1977  597]
49,繇貘邈貔臌膻臆臃鲼鲽鳀,0.7197,[182 614],[1984  769]
49,鳃鳅鳇鳊螽燮鸾襄叶縻膺,0.7182,[176 771],[1982  950]
49,襁檗擘孺隳嬷蟊鹬鍪,0.7233,[ 171 1118],[1648 1279]
49,18画,0.9986,[1650 1156],[1802 1230]
49,蹚鹭蟛蟪蟠蟮鹮黠黟髅体,0.5101,[ 136 1584],[2010 1825]
49,镬镭镯馥簟簪鼬雠艟鳎鳏,0.7138,[ 143 1773],[1996 2016]
49,鳐癞癔癜癖糨鳖鎏懵彝邋,0.5768,[ 147 1980],[1991 2170]
49,松攉攒鞲鞴藿蘧蘅麓醮,0.4754,[ 320 2166],[1993 2336]
49,19画,0.9989,[ 139 2217],[ 295 2295]
50,通用,0.9908,[154   0],[285  85]
50,规范汉字7000字,0.9664,[273   5],[658  77]
50,[行楷]教学版,0.9679,[1701   30],[1982  116]
50,醯酃霪霭霨黼听蹰蹶蹽蹼,0.6682,[178 114],[1964  274]
50,蹴蹾蹿蠖蠓蟾蠊黢髌髌镲,0.6771,[170 293],[1972  462]
50,籀籁鼩魑艨鳓鳔鳕鳗鳙麒,0.6967,[159 454],[1981  648]
50,尘羸㸆瀚瀣瀛襦谶襞骥缵,0.5924,[150 610],[1982  838]
50,瓒攘蘩蘖醴霰酆矍曦,0.788,[318 813],[1822  999]
50,20画,0.9995,[159 853],[318 944]
50,瓘鼙醺,0.7184,[1470 1162],[1977 1357]
50,臜鳜鳝鳟獾孀骧,0.8543,[ 165 1183],[1299 1338]
50,21画,0.999,[1302 1223],[1455 1292]
50,礴颦曩鳢癫麝夔爝灝禳璧,0.4367,[ 144 1332],[1985 1540]
50,耱懿蘸鹳霾氍饕躐,0.7734,[ 637 1520],[1974 1710]
50,22画,0.9991,[ 479 1557],[ 635 1642]
50,鬟遗攫攥欢,0.5897,[1140 1708],[1963 1888]
50,23画,0.9992,[ 965 1752],[1118 1826]
50,躜鼹癯麟蠲,0.6575,[ 157 1877],[ 956 2045]
50,蠹躞衢鑫灞,0.7934,[1141 1896],[1941 2057]
50,24画,0.9995,[ 962 1933],[1114 2006]
50,襻,0.7572,[ 165 2046],[ 292 2201]
50,纛鬣攮囔馕戇,0.731,[ 497 2064],[1434 2220]
50,25画,0.9992,[ 312 2096],[ 464 2166]
50,爨,0.8801,[1644 2087],[1761 2221]
50,30画,0.9978,[1454 2118],[1608 2192]
50,36画,0.9979,[1781 2119],[1927 2185]
50,台,0.4172,[ 168 2221],[ 285 2318]
